post_id,topic,text_len,post_ctr_smooth
1,business,1967,0.11137318504788385
2,business,2701,0.10920006213109662
3,business,3408,0.11439294631710362
4,business,1026,0.11687363834422658
5,business,889,0.11329531630170317
6,business,911,0.11724074074074076
7,business,1520,0.11147957592765825
8,business,1660,0.11665579372475925
9,business,2063,0.11261697181052022
10,business,2040,0.11058405797101449
11,business,1812,0.12215495995070857
14,business,859,0.11423162230671736
15,business,2118,0.11522139070782662
16,business,1327,0.11497376543209877
18,business,2158,0.11960339506172842
19,business,2072,0.1107513277100906
20,business,1962,0.11593993152816683
21,business,1324,0.11329126776907457
22,business,3003,0.11482299498746867
23,business,2161,0.11482299498746867
24,business,1032,0.11271524141942992
25,business,2131,0.11525936157151627
28,business,1229,0.11106552449654343
30,business,5160,0.12136075036075038
32,business,2021,0.11699325360318921
34,business,1809,0.1123934375958295
35,business,4605,0.11190498737373737
36,business,2821,0.11834872268390276
37,business,3634,0.11418865248226952
38,business,1195,0.11589969135802469
39,business,2652,0.11482299498746867
41,business,2799,0.11576284461152882
43,business,2993,0.11529616198247204
44,business,1225,0.11324454828660437
45,business,1065,0.11791744548286605
46,business,1623,0.11780484068627452
47,business,960,0.11482299498746867
48,business,1979,0.11347655020459553
49,business,1283,0.11004334451901568
50,business,4443,0.11254444444444445
51,business,2935,0.11085304320403658
52,business,1826,0.1161996855345912
53,business,1164,0.11304954531201003
54,business,1377,0.11364806201550387
55,business,1490,0.11312191358024691
56,business,1410,0.11267846339987901
57,business,1888,0.11867746913580249
59,business,1741,0.11303327114427861
60,business,2170,0.11375387957790192
61,business,1870,0.12083411287807921
62,business,2960,0.11375387957790192
63,business,1615,0.110010092272203
64,business,1605,0.11758868501529053
65,business,2583,0.11396610696517413
66,business,2849,0.11494184266911539
67,business,1270,0.11263862633900441
68,business,2440,0.113562949078413
70,business,1609,0.11428593701278453
71,business,2005,0.11643875968992248
72,business,1747,0.11242610062893081
74,business,1783,0.11409761456371625
75,business,1735,0.11593993152816683
76,business,1465,0.11867746913580249
77,business,1640,0.11607329040171727
78,business,1718,0.11500622471210707
79,business,1299,0.11747827436374922
81,business,1451,0.11043512409676406
82,business,1286,0.1112727558066541
83,business,1487,0.11909576090271426
84,business,1042,0.1140725178960473
85,business,1724,0.11369126458530432
87,business,1881,0.11250851129681214
89,business,1862,0.11665579372475925
93,business,1538,0.11468497827436375
94,business,1331,0.11178759689922481
96,business,1831,0.1109642749016046
97,business,2699,0.11643875968992248
98,business,1431,0.11053930817610062
99,business,1586,0.11333178726035868
100,business,1173,0.11874105197634609
101,business,3446,0.11125671472999718
102,business,2848,0.11303327114427861
103,business,1854,0.11292657856093981
104,business,2101,0.11147049878345498
105,business,1274,0.1121088115396676
106,business,1944,0.11369126458530432
107,business,3184,0.1122051042639278
109,business,2993,0.1121088115396676
110,business,1542,0.1171430817610063
111,business,1785,0.11353083262290424
113,business,1832,0.11232013823437009
114,business,2608,0.11742536164973838
115,business,1997,0.11747827436374922
117,business,1688,0.11633054522924412
119,business,2425,0.10694268476621417
120,business,2281,0.1108751441753172
121,business,1630,0.11312191358024691
122,business,1760,0.11085736434108527
123,business,1169,0.11598085373509102
124,business,1759,0.11213619130941967
126,business,2346,0.11486740672217083
127,business,4430,0.11096058348851645
128,business,1156,0.1153292759051186
129,business,2916,0.11190498737373737
130,business,1750,0.11508032128514056
131,business,3203,0.1130172679617638
132,business,2562,0.1180217925107428
133,business,1544,0.10897904940587867
134,business,1293,0.11742182614133834
135,business,2401,0.11522139070782662
136,business,2073,0.1136062824031717
137,business,2603,0.1132267531665122
138,business,1695,0.11704236239950526
139,business,2653,0.10765281541704307
140,business,1510,0.11511370716510903
141,business,1507,0.11709229809791082
142,business,2116,0.11543736332396126
143,business,3058,0.11065531000613874
145,business,1386,0.1117819803198032
146,business,1677,0.11630941139439722
147,business,2030,0.11633054522924412
148,business,1791,0.11791321680466116
149,business,1779,0.10799231950844854
150,business,2435,0.11468497827436375
151,business,1388,0.11354244114002478
152,business,2236,0.11715103683070256
153,business,1319,0.11054412223261616
154,business,1703,0.1172599132589839
155,business,3768,0.1167646144278607
157,business,2143,0.11116363110725644
158,business,2969,0.11428593701278453
159,business,1246,0.11839749465322336
160,business,2114,0.11522139070782662
162,business,1469,0.11486740672217083
163,business,1632,0.10772257672439987
164,business,1508,0.1082122822556835
165,business,1566,0.11447180916976456
167,business,1940,0.11189168218497828
168,business,3102,0.11354244114002478
169,business,1372,0.11238290754257907
170,business,1526,0.1127451907915484
171,business,873,0.1209551922494702
172,business,1580,0.11210043532338308
173,business,2842,0.11589969135802469
174,business,1750,0.12566223330562484
176,business,1316,0.11345661672908863
177,business,2340,0.10802092543471854
178,business,2480,0.11156483977238695
179,business,2552,0.11508032128514056
180,business,3775,0.11136472346786248
181,business,1743,0.11306609740670462
182,business,3037,0.11513211382113822
183,business,2579,0.11739670575097712
185,business,1248,0.11178759689922481
186,business,1142,0.1132267531665122
187,business,1562,0.11262574195563886
188,business,3849,0.11250851129681214
189,business,2162,0.11479186082634359
190,business,1276,0.11758868501529053
191,business,1549,0.11671754548257786
192,business,1702,0.11345661672908863
193,business,1821,0.11262888107791448
194,business,1961,0.11303327114427861
196,business,1051,0.11252028714107366
197,business,2318,0.113562949078413
198,business,941,0.11818084781945716
199,business,2183,0.11242094574992749
200,business,2097,0.1095327818627451
201,business,2518,0.11460756722951845
202,business,3389,0.11775154320987655
203,business,3328,0.11500622471210707
204,business,1333,0.11222380500158279
205,business,2442,0.11463733837906023
206,business,897,0.11479186082634359
207,business,2383,0.11229996910719803
208,business,1446,0.10932023289665212
210,business,1857,0.11303327114427861
211,business,1686,0.11536559139784947
212,business,1892,0.11504748774509804
213,business,2923,0.1137247366922858
214,business,2184,0.11238290754257907
215,business,1180,0.11441651432053626
216,business,1834,0.11512013381995134
217,business,2125,0.10934637549287231
218,business,2499,0.113562949078413
219,business,1531,0.11158395755305868
220,business,2679,0.11095801767676768
221,business,2182,0.11450015620118713
222,business,1298,0.11589969135802469
223,business,1317,0.11482299498746867
224,business,1791,0.11764261486278138
225,business,1173,0.11709229809791082
226,business,2306,0.11526775486827034
227,business,1594,0.11518707482993197
228,business,1235,0.11615684440286872
229,business,1987,0.1169828660436137
230,business,1305,0.1165471756672874
232,business,1649,0.11324454828660437
235,business,1657,0.11589969135802469
236,business,1596,0.11450015620118713
237,business,1613,0.10979970760233917
238,business,1375,0.11409761456371625
239,business,2025,0.11476124460874923
241,business,1751,0.11394233734196732
242,business,1920,0.11660967344423906
243,business,2118,0.1087526395173454
244,business,2502,0.11769666360575452
245,business,2757,0.11851972662317489
247,business,2038,0.11665579372475925
248,business,2127,0.11611471861471861
249,business,1814,0.11324454828660437
250,business,3310,0.11543610856968588
251,business,1096,0.11280040439052572
252,business,2470,0.11280855647891659
253,business,1990,0.11364806201550387
255,business,1675,0.11442083726786276
256,business,1146,0.11404783950617284
257,business,1779,0.113562949078413
258,business,1469,0.11785736009732362
259,business,1102,0.11665579372475925
260,business,1007,0.11364806201550387
261,business,1794,0.10794535024154589
262,business,879,0.11158395755305868
264,business,1588,0.10797536231884058
265,business,2073,0.1167646144278607
266,business,1093,0.11431289308176101
267,business,2449,0.11561607697082557
269,business,1259,0.11396610696517413
270,business,2702,0.11345661672908863
271,business,1288,0.1153292759051186
272,business,1805,0.11450015620118713
273,business,1086,0.11483639143730887
274,business,1549,0.11709229809791082
275,business,1206,0.1127451907915484
276,business,2038,0.11813056835637482
279,business,1614,0.11508032128514056
280,business,1798,0.11486135434909517
282,business,1626,0.11396610696517413
283,business,1048,0.11189168218497828
284,business,1422,0.11241502962270035
285,business,1007,0.11044080996884735
286,business,858,0.10804321547295255
287,business,1469,0.11742182614133834
289,business,1705,0.11286895100691313
290,business,1410,0.11952224310776942
291,business,847,0.11222380500158279
293,business,2583,0.11693388940376892
294,business,2102,0.1161996855345912
295,business,2170,0.11137763116556708
296,business,1547,0.11358380592312539
297,business,1361,0.1163745704467354
298,business,1342,0.11187881562881563
299,business,2151,0.11533059110298599
301,business,2579,0.11294329573934837
302,business,1644,0.11703267357838518
303,business,4587,0.11137538940809968
304,business,1910,0.11076020719073736
305,business,3824,0.11608112094395281
306,business,1764,0.1183599124452783
307,business,2816,0.1146552785472453
308,business,2363,0.11126493428912784
310,business,1602,0.11157229832572298
311,business,1784,0.11310529537802265
313,business,987,0.11240414347557205
314,business,2467,0.11575382262996942
315,business,1944,0.11489894278606966
316,business,1851,0.11096778959810874
317,business,1781,0.11383703019100432
318,business,1613,0.11479186082634359
320,business,911,0.11878745752239729
321,business,2233,0.11315599497802888
323,business,1109,0.11885202492211838
324,business,2180,0.11479186082634359
326,business,1442,0.11715103683070256
327,business,4020,0.11494184266911539
328,business,879,0.11447180916976456
329,business,3545,0.11409761456371625
330,business,5378,0.11665579372475925
331,business,2605,0.11399027908435246
332,business,2282,0.11874105197634609
333,business,1541,0.11201105845181675
334,business,3966,0.11909576090271426
